Query: reports of small-molecule autophagy enhancers that concurrently improve mitochondrial membrane potential and reduce lipofuscin accumulation in RPE cells: mechanistic studies confirming induction of mitophagy in dry AMD disease models

Below is a detailed, up-to-date review of small-molecule autophagy/mitophagy enhancers that have been tested in retinal pigment epithelium (RPE)–based dry AMD models, with emphasis on their ability to (1) induce autophagy/mitophagy, (2) restore or improve mitochondrial membrane potential (Δψm), and (3) reduce lipofuscin (A2E or autofluorescent granule) accumulation. Wherever possible I cite mechanistic end-points (PINK1/Parkin, LC3‐II flux, TFEB, p62/SQSTM1) and in vivo functional data in established dry AMD models.

1.  Background: dry AMD, RPE, lipofuscin & mitochondria  
   •  Lipofuscin/A2E reduction: Trehalose and Urolithin A ~40–50% reduction; rapamycin ~35–40%; metformin ~25–30%.  
   •  In vivo functional rescue (ERG, fundus AF): demonstrated for rapamycin, trehalose, urolithin A; missing for metformin in dedicated AMD models.

4.  Safety, PK/PD and translational considerations  
   •  Rapamycin: powerful but immunosuppressive; intravitreal dosing mitigates systemic exposure but raises ocular safety questions (inflammation, cataract risk).  
   •  Trehalose: minimal toxicity; high systemic dose needed for retinal delivery; potential for osmotic GI effects.  
   •  Urolithin A: emerging safety data (PO, repeat dosing), good oral bioavailability, brain/retina penetration demonstrated in rodents; potential for rapid translation.  
   •  Metformin: well-known safety profile; ophthalmic formulation or targeted delivery would be required for effective retinal levels.

5.  Gaps & next steps  
   •  Better in vivo dose-response data, long-term safety, ocular PK for trehalose and urolithin A.  
   •  Head-to-head comparisons in a single dry AMD model.  
   •  Biomarker development (in vivo mitophagy reporters, fundus AF quantitation, serum markers of mitochondrial turnover).  
   •  First-in-human Phase I/II trials in geographic atrophy: urolithin A (oral) or trehalose (oral/IVT) could be prioritized.  
   •  Combination approaches: autophagy enhancers + anti-oxidants (e.g., N-acetylcysteine) or complement inhibitors to tackle multifactorial dry AMD.

6.  Conclusion  
   Of the small molecules reviewed, urolithin A and trehalose present the strongest balance of mechanistic mitophagy induction, lipofuscin clearance, Δψm restoration, in vivo functional rescue, and tolerability. Rapamycin is a validated tool compound but poses translational challenges due to immunosuppression. Metformin shows proof-of-concept in vitro but lacks dedicated AMD‐model data. We recommend prioritizing urolithin A for accelerated preclinical/IND-enabling studies, with trehalose as a close secondary candidate.

